date,had_coffee,ate_alone,spent_time_with_friends,prayed_all_five,played_fifa_or_cards,watched_movies_or_scrolled_late,notes
2025-02-03,Yes,No,No,No,No,No,"Routine day, some focus possible."
2025-02-04,No,No,No,Yes,No,Yes,Night distractions affected next day.
2025-02-05,Yes,No,No,No,No,No,"Routine day, some focus possible."
2025-02-06,Yes,Yes,No,No,No,Yes,Night distractions affected next day.
2025-02-07,No,Yes,Yes,No,Yes,Yes,Night distractions affected next day.
2025-02-08,No,Yes,Yes,No,Yes,Yes,Night distractions affected next day.
2025-02-09,No,Yes,No,No,Yes,Yes,Night distractions affected next day.
2025-02-10,Yes,Yes,Yes,No,Yes,Yes,Night distractions affected next day.
2025-02-11,Yes,No,Yes,Yes,Yes,No,Games and convos reduced night study.
2025-02-12,No,Yes,Yes,No,No,No,"Routine day, some focus possible."
2025-02-13,Yes,No,Yes,Yes,Yes,No,Games and convos reduced night study.
2025-02-14,Yes,No,Yes,No,No,Yes,Night distractions affected next day.
2025-02-15,No,Yes,Yes,No,Yes,No,Games and convos reduced night study.
2025-02-16,No,Yes,No,No,No,No,"Routine day, some focus possible."
2025-02-17,Yes,No,Yes,Yes,No,Yes,Night distractions affected next day.
2025-02-18,No,No,Yes,No,Yes,No,Games and convos reduced night study.
2025-02-19,Yes,No,Yes,No,No,No,"Routine day, some focus possible."
2025-02-20,Yes,Yes,No,Yes,Yes,No,Games and convos reduced night study.
2025-02-21,Yes,No,No,Yes,Yes,Yes,Night distractions affected next day.
2025-02-22,Yes,Yes,No,No,Yes,Yes,Night distractions affected next day.
2025-02-23,Yes,No,No,Yes,Yes,No,Games and convos reduced night study.
2025-02-24,Yes,No,Yes,No,Yes,No,Games and convos reduced night study.
2025-02-25,Yes,No,No,No,Yes,No,Games and convos reduced night study.
2025-02-26,Yes,Yes,No,Yes,Yes,No,Games and convos reduced night study.
2025-02-27,Yes,Yes,No,No,No,No,"Routine day, some focus possible."
2025-02-28,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-01,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-02,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-03,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-04,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-05,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-06,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-07,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-08,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-09,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-10,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-11,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-12,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-13,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-14,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-15,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-16,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-17,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-18,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-19,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-20,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-21,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-22,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-23,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-24,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-25,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-26,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-27,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-28,No,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-29,Yes,Yes,No,Yes,No,No,Fasting. Skipped lunch. Strong prayer habit and focus.
2025-03-30,No,Yes,No,No,No,No,"Routine day, some focus possible."
2025-03-31,Yes,No,No,Yes,No,No,"Routine day, some focus possible."
2025-04-01,Yes,Yes,No,No,Yes,Yes,Night distractions affected next day.
2025-04-02,Yes,Yes,Yes,Yes,Yes,No,Games and convos reduced night study.
2025-04-03,Yes,Yes,Yes,No,Yes,Yes,Night distractions affected next day.
2025-04-04,Yes,Yes,Yes,No,No,No,"Routine day, some focus possible."
2025-04-05,No,No,Yes,No,No,No,"Routine day, some focus possible."
2025-04-06,No,No,Yes,No,No,Yes,Night distractions affected next day.
2025-04-07,No,No,Yes,No,No,No,"Routine day, some focus possible."
2025-04-08,No,No,No,No,No,Yes,Night distractions affected next day.
2025-04-09,No,Yes,Yes,No,No,No,"Routine day, some focus possible."
2025-04-10,No,Yes,Yes,Yes,Yes,No,Games and convos reduced night study.
2025-04-11,No,Yes,No,Yes,No,Yes,Night distractions affected next day.
2025-04-12,No,Yes,Yes,No,No,Yes,Night distractions affected next day.
2025-04-13,No,No,No,No,Yes,No,Games and convos reduced night study.
2025-04-14,No,Yes,Yes,Yes,Yes,Yes,Night distractions affected next day.
2025-04-15,No,Yes,Yes,No,No,Yes,Night distractions affected next day.
2025-04-16,Yes,Yes,No,Yes,No,No,"Routine day, some focus possible."
2025-04-17,No,Yes,Yes,Yes,No,Yes,Night distractions affected next day.
2025-04-18,Yes,Yes,No,No,Yes,No,Games and convos reduced night study.
2025-04-19,Yes,Yes,Yes,No,Yes,No,Games and convos reduced night study.
2025-04-20,Yes,Yes,Yes,Yes,Yes,No,Games and convos reduced night study.
2025-04-21,Yes,No,Yes,No,Yes,No,Games and convos reduced night study.
2025-04-22,Yes,Yes,Yes,No,Yes,No,Games and convos reduced night study.
