date,mood_level,energy_level,social_distraction_minutes,notes
2025-02-03,8,6,60,Too much scrolling after lunch
2025-02-04,8,5,90,Late start but recovered
2025-02-05,7,6,15,Too much scrolling after lunch
2025-02-06,5,5,15,"Mentally off, couldn't focus"
2025-02-07,8,6,15,Late start but recovered
2025-02-08,8,5,90,"Mentally off, couldn't focus"
2025-02-09,5,7,90,Too much scrolling after lunch
2025-02-10,8,8,75,Distracted by FIFA or convo
2025-02-11,7,4,60,Exams drained energy
2025-02-12,9,4,15,Late start but recovered
2025-02-13,6,5,45,Exams drained energy
2025-02-14,8,9,75,Late start but recovered
2025-02-15,7,9,90,Prayer consistency helped
2025-02-16,4,7,90,Prayer consistency helped
2025-02-17,8,9,15,Prayer consistency helped
2025-02-18,9,6,30,Distracted by FIFA or convo
2025-02-19,8,8,15,Exams drained energy
2025-02-20,5,8,15,Prayer consistency helped
2025-02-21,9,8,45,Too much scrolling after lunch
2025-02-22,8,7,75,Too much scrolling after lunch
2025-02-23,7,7,90,Exams drained energy
2025-02-24,8,6,45,Exams drained energy
2025-02-25,5,5,15,Distracted by FIFA or convo
2025-02-26,7,7,60,Late start but recovered
2025-02-27,5,8,90,Late start but recovered
2025-02-28,9,9,22,"Ramadan focus, strong discipline and prayer routine."
2025-03-01,9,9,17,"Ramadan focus, strong discipline and prayer routine."
2025-03-02,8,10,0,"Ramadan focus, strong discipline and prayer routine."
2025-03-03,9,10,8,"Ramadan focus, strong discipline and prayer routine."
2025-03-04,10,8,22,"Ramadan focus, strong discipline and prayer routine."
2025-03-05,10,10,19,"Ramadan focus, strong discipline and prayer routine."
2025-03-06,7,8,8,"Ramadan focus, strong discipline and prayer routine."
2025-03-07,9,9,10,"Ramadan focus, strong discipline and prayer routine."
2025-03-08,9,10,21,"Ramadan focus, strong discipline and prayer routine."
2025-03-09,9,10,25,"Ramadan focus, strong discipline and prayer routine."
2025-03-10,8,7,11,"Ramadan focus, strong discipline and prayer routine."
2025-03-11,9,8,24,"Ramadan focus, strong discipline and prayer routine."
2025-03-12,7,8,6,"Ramadan focus, strong discipline and prayer routine."
2025-03-13,7,9,2,"Ramadan focus, strong discipline and prayer routine."
2025-03-14,9,7,5,"Ramadan focus, strong discipline and prayer routine."
2025-03-15,10,8,17,"Ramadan focus, strong discipline and prayer routine."
2025-03-16,10,9,0,"Ramadan focus, strong discipline and prayer routine."
2025-03-17,7,9,14,"Ramadan focus, strong discipline and prayer routine."
2025-03-18,10,9,27,"Ramadan focus, strong discipline and prayer routine."
2025-03-19,10,8,0,"Ramadan focus, strong discipline and prayer routine."
2025-03-20,9,7,28,"Ramadan focus, strong discipline and prayer routine."
2025-03-21,8,7,20,"Ramadan focus, strong discipline and prayer routine."
2025-03-22,10,8,12,"Ramadan focus, strong discipline and prayer routine."
2025-03-23,8,7,1,"Ramadan focus, strong discipline and prayer routine."
2025-03-24,10,7,13,"Ramadan focus, strong discipline and prayer routine."
2025-03-25,8,9,29,"Ramadan focus, strong discipline and prayer routine."
2025-03-26,10,8,8,"Ramadan focus, strong discipline and prayer routine."
2025-03-27,8,10,10,"Ramadan focus, strong discipline and prayer routine."
2025-03-28,10,10,15,"Ramadan focus, strong discipline and prayer routine."
2025-03-29,8,7,19,"Ramadan focus, strong discipline and prayer routine."
2025-03-30,4,5,60,Late start but recovered
2025-03-31,7,4,30,"Mentally off, couldn't focus"
2025-04-01,9,4,90,Too much scrolling after lunch
2025-04-02,8,9,90,Exams drained energy
2025-04-03,8,4,90,Prayer consistency helped
2025-04-04,4,6,30,Distracted by FIFA or convo
2025-04-05,7,7,60,Late start but recovered
2025-04-06,4,9,60,Exams drained energy
2025-04-07,7,8,90,Too much scrolling after lunch
2025-04-08,6,6,90,"Mentally off, couldn't focus"
2025-04-09,9,5,15,Prayer consistency helped
2025-04-10,9,9,60,Prayer consistency helped
2025-04-11,7,5,45,Late start but recovered
2025-04-12,5,5,45,"Mentally off, couldn't focus"
2025-04-13,5,9,30,Prayer consistency helped
2025-04-14,7,9,15,Too much scrolling after lunch
2025-04-15,9,9,60,Prayer consistency helped
2025-04-16,5,4,75,Exams drained energy
2025-04-17,9,5,30,"Mentally off, couldn't focus"
2025-04-18,7,9,75,Distracted by FIFA or convo
2025-04-19,4,4,75,Distracted by FIFA or convo
2025-04-20,7,9,60,Exams drained energy
2025-04-21,9,4,90,Exams drained energy
2025-04-22,9,6,75,Late start but recovered
